               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  93,            0.033355,            0.043263,            0.001922,             0.54963,             0.58067,             0.56198,             0.35577,            0.030915,            0.048496,           0.0052671,           0.0081784,           0.0081784,           0.0081784
                  94,            0.032091,            0.044489,            0.002884,             0.53616,             0.62481,             0.57409,             0.37259,            0.029591,            0.047059,           0.0053328,           0.0081586,           0.0081586,           0.0081586
                  95,            0.032179,            0.045686,           0.0019697,             0.52604,             0.65233,             0.58651,             0.37127,            0.029624,            0.045588,           0.0072412,           0.0081388,           0.0081388,           0.0081388
                  96,            0.032663,            0.043403,           0.0023003,             0.49165,             0.65329,             0.56553,             0.35447,            0.030383,            0.048677,           0.0064135,            0.008119,            0.008119,            0.008119
                  97,             0.03221,            0.043123,           0.0020311,             0.56578,              0.5895,             0.57333,             0.36784,            0.029461,            0.045818,            0.010467,           0.0080992,           0.0080992,           0.0080992
                  98,            0.030649,            0.042439,           0.0017938,             0.54569,              0.6134,             0.56818,             0.36795,            0.029691,            0.048667,            0.007623,           0.0080794,           0.0080794,           0.0080794
                  99,            0.031477,            0.044862,           0.0017751,             0.60415,             0.57446,             0.58141,             0.37404,            0.029954,              0.0475,           0.0084554,           0.0080596,           0.0080596,           0.0080596
                 100,            0.031493,             0.04258,           0.0016966,             0.57315,             0.60168,             0.57599,             0.37568,            0.029378,            0.047307,            0.010017,           0.0080398,           0.0080398,           0.0080398
                 101,            0.032672,             0.04651,           0.0024887,             0.54145,             0.62861,             0.59226,             0.37877,            0.029764,            0.047547,           0.0055219,             0.00802,             0.00802,             0.00802
                 102,            0.030979,            0.043894,            0.001999,              0.5738,             0.61105,             0.60442,             0.39964,            0.029443,             0.04583,           0.0063892,           0.0080002,           0.0080002,           0.0080002
                 103,            0.030687,            0.044781,           0.0015471,             0.55919,             0.58107,             0.57129,               0.369,            0.030008,            0.047529,           0.0055043,           0.0079804,           0.0079804,           0.0079804
                 104,            0.031461,            0.044997,           0.0020477,             0.57211,             0.59419,             0.58599,             0.38036,            0.029874,            0.048728,           0.0060588,           0.0079606,           0.0079606,           0.0079606
                 105,            0.032426,            0.045097,           0.0017084,             0.56268,             0.56266,             0.56901,             0.35887,            0.029684,            0.048139,           0.0076142,           0.0079408,           0.0079408,           0.0079408
                 106,            0.030513,            0.044466,           0.0016903,             0.53434,             0.60764,             0.56624,             0.36475,            0.029889,            0.050494,            0.010687,            0.007921,            0.007921,            0.007921
                 107,            0.031321,            0.042254,           0.0019734,             0.51465,             0.58174,             0.53363,             0.34463,            0.029141,            0.050393,            0.010885,           0.0079012,           0.0079012,           0.0079012
                 108,              0.0299,            0.041764,           0.0016012,             0.53712,             0.61926,             0.56035,             0.36716,            0.029939,            0.051571,           0.0065903,           0.0078814,           0.0078814,           0.0078814
                 109,            0.030022,            0.041841,           0.0017338,             0.52408,             0.65098,             0.57149,             0.37437,            0.028735,            0.046928,           0.0080125,           0.0078616,           0.0078616,           0.0078616
                 110,             0.03017,             0.04152,           0.0017319,              0.5058,             0.61902,             0.55711,             0.35554,            0.029548,            0.047852,            0.010778,           0.0078418,           0.0078418,           0.0078418
                 111,            0.029606,            0.041311,           0.0014577,             0.53566,             0.64894,             0.57688,             0.37504,            0.028893,            0.048622,            0.011203,            0.007822,            0.007822,            0.007822
                 112,            0.030716,            0.041441,           0.0012736,             0.56784,             0.59947,             0.58039,             0.38361,            0.029439,            0.049005,           0.0044338,           0.0078022,           0.0078022,           0.0078022
                 113,            0.030609,            0.040641,           0.0014667,             0.56371,             0.56846,             0.55115,             0.34725,            0.030357,             0.04999,           0.0082033,           0.0077824,           0.0077824,           0.0077824
                 114,             0.02971,             0.04358,            0.002124,             0.52802,              0.5596,              0.5469,             0.35087,            0.029437,            0.050074,           0.0096192,           0.0077626,           0.0077626,           0.0077626
                 115,            0.030321,            0.042098,            0.001372,             0.56588,             0.57735,             0.56049,             0.34959,            0.029915,            0.047513,           0.0086396,           0.0077428,           0.0077428,           0.0077428
                 116,            0.031082,            0.041008,           0.0019765,             0.55623,             0.61638,             0.57851,              0.3713,            0.029615,            0.050483,           0.0073779,            0.007723,            0.007723,            0.007723
                 117,            0.029163,            0.040004,           0.0017138,             0.54733,             0.63364,             0.58702,             0.37823,            0.029799,            0.047918,           0.0066259,           0.0077032,           0.0077032,           0.0077032
                 118,            0.030346,            0.042227,            0.001931,             0.53806,             0.59031,             0.56021,             0.36426,            0.029347,            0.049143,           0.0061351,           0.0076834,           0.0076834,           0.0076834
                 119,             0.02926,            0.041275,           0.0014053,             0.57261,             0.59552,             0.58054,             0.37814,            0.029083,              0.0497,           0.0088368,           0.0076636,           0.0076636,           0.0076636
                 120,            0.029853,            0.041214,           0.0016623,             0.51827,             0.61072,             0.55465,             0.36542,            0.029549,            0.049136,           0.0085282,           0.0076438,           0.0076438,           0.0076438
                 121,            0.029563,            0.041494,           0.0013792,              0.5286,               0.639,              0.5689,             0.38133,            0.028542,            0.048461,           0.0068382,            0.007624,            0.007624,            0.007624
                 122,            0.029949,             0.03957,           0.0013141,             0.55203,             0.60835,             0.57932,             0.37947,            0.029528,            0.047475,           0.0084776,           0.0076042,           0.0076042,           0.0076042
                 123,             0.02842,            0.040402,           0.0013435,             0.54238,              0.6666,             0.59101,              0.3939,            0.028837,            0.049081,           0.0059964,           0.0075844,           0.0075844,           0.0075844
                 124,            0.031572,            0.040042,           0.0010627,             0.56654,             0.62181,               0.579,             0.37882,            0.029295,            0.047083,           0.0064517,           0.0075646,           0.0075646,           0.0075646
                 125,            0.029642,            0.039511,           0.0012698,             0.51284,             0.63842,             0.55993,             0.37293,            0.028508,            0.049518,           0.0099306,           0.0075448,           0.0075448,           0.0075448
                 126,            0.028713,            0.039218,           0.0013327,             0.55855,             0.60405,             0.58998,             0.39495,            0.028833,            0.050808,           0.0065376,            0.007525,            0.007525,            0.007525
                 127,            0.029019,            0.039095,           0.0012591,             0.55097,             0.59499,             0.56324,             0.37158,            0.028492,            0.047922,            0.012217,           0.0075052,           0.0075052,           0.0075052
                 128,             0.03011,            0.040213,           0.0012152,             0.58559,             0.56778,             0.58228,             0.38532,            0.028889,            0.050508,            0.009668,           0.0074854,           0.0074854,           0.0074854
                 129,            0.028751,            0.038049,           0.0017097,             0.53521,             0.58975,             0.53048,             0.35513,            0.029957,            0.053404,            0.014736,           0.0074656,           0.0074656,           0.0074656
                 130,            0.028814,            0.038539,           0.0014863,             0.60686,             0.59047,             0.58137,             0.38575,            0.029087,             0.04907,           0.0072135,           0.0074458,           0.0074458,           0.0074458
                 131,            0.027945,            0.039811,           0.0012273,             0.54617,             0.59694,             0.56316,             0.37374,            0.029436,            0.050022,            0.007114,            0.007426,            0.007426,            0.007426
                 132,            0.029138,              0.0386,            0.001947,              0.5467,             0.60699,             0.57824,             0.38758,             0.02831,            0.049094,           0.0069854,           0.0074062,           0.0074062,           0.0074062
                 133,             0.02917,            0.038503,           0.0013362,             0.55343,              0.6159,             0.58737,             0.38429,            0.029028,            0.048146,           0.0055716,           0.0073864,           0.0073864,           0.0073864
